epsilon, sigma  , f1_seed_42, f1_seed_123, f1_seed_456, f1_seed_789, f1_seed_1000, f1_mean, f1_std , acc_seed_42, acc_seed_123, acc_seed_456, acc_seed_789, acc_seed_1000, acc_mean, acc_std
inf    ,  0.0000,    90.8094,     88.6920,     88.6920,     91.7219,      90.0110, 89.9853,  1.1867,     99.7492,      99.8328,      99.8328,      99.8328,       99.7213,  99.7938,  0.0486
100.0  ,  0.2422,    75.0852,     84.7913,     70.6592,     75.0743,      85.3796, 78.1979,  5.8537,     99.6377,      99.6934,      99.7770,      99.8049,       99.6656,  99.7157,  0.0645
90.0   ,  0.2692,    72.1597,     83.0665,     80.5616,     63.9865,      93.1831, 78.5915,  9.9146,     99.6377,      99.8328,      99.6377,      99.5819,       99.9164,  99.7213,  0.1295
80.0   ,  0.3028,    80.2614,     89.2814,     85.9936,     72.2500,      73.0388, 80.1650,  6.7900,     99.6656,      99.8606,      99.7770,      99.5541,       99.8328,  99.7380,  0.1137
50.0   ,  0.4845,    81.9209,     70.4574,     80.6265,     70.9000,      70.3126, 74.8435,  5.2697,     99.6656,      99.6934,      99.5819,      99.5262,       99.5262,  99.5987,  0.0696
20.0   ,  1.2112,    40.6978,     16.5878,     33.1254,     24.9841,      70.0822, 37.0955, 18.3527,     99.0803,      94.2865,      94.4816,       2.2018,       99.6656,  77.9432, 37.9368
1.0    , 24.2240,     0.8637,      1.0429,     12.9429,      0.0354,      10.8715,  5.1513,  5.5653,      2.5920,       3.0936,      39.0468,       0.0836,       48.0491,  18.5730, 20.6149
